                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                0.71318,                0.59401,                 1.0644,                0.95267,                0.90482,                0.95397,                0.85749,                0.54271,                0.36353,                0.94377,               0.002278,               0.002278,               0.002278
                    159,                0.70981,                0.59025,                 1.0676,                0.95362,                0.90428,                0.95401,                0.85813,                 0.5422,                0.36346,                0.94343,              0.0022285,              0.0022285,              0.0022285
                    160,                0.70459,                0.58741,                 1.0634,                0.95342,                0.90428,                0.95401,                0.85836,                0.54157,                0.36295,                0.94306,               0.002179,               0.002179,               0.002179
                    161,                0.70581,                 0.5884,                 1.0639,                0.95334,                0.90525,                0.95459,                0.85863,                0.54116,                0.36273,                0.94278,              0.0021295,              0.0021295,              0.0021295
                    162,                0.70395,                0.58568,                 1.0582,                0.95403,                0.90467,                 0.9543,                0.85858,                0.54036,                0.36223,                0.94225,                0.00208,                0.00208,                0.00208
                    163,                0.69863,                0.58151,                 1.0607,                0.95485,                0.90564,                 0.9548,                0.85889,                0.54019,                0.36179,                0.94212,              0.0020305,              0.0020305,              0.0020305
                    164,                0.70421,                0.58324,                 1.0597,                0.95522,                0.90564,                0.95496,                  0.859,                0.53971,                0.36107,                 0.9417,               0.001981,               0.001981,               0.001981
                    165,                0.69493,                0.58242,                 1.0576,                0.95632,                0.90362,                0.95485,                 0.8589,                0.53904,                0.36073,                0.94119,              0.0019315,              0.0019315,              0.0019315
                    166,                0.69211,                0.57797,                 1.0542,                0.95546,                0.90615,                0.95517,                0.85957,                0.53864,                0.36051,                0.94079,               0.001882,               0.001882,               0.001882
                    167,                0.69303,                0.57956,                 1.0565,                0.95752,                0.90405,                0.95544,                0.85972,                0.53831,                0.36012,                0.94045,              0.0018325,              0.0018325,              0.0018325
                    168,                0.68551,                0.57782,                 1.0494,                0.95798,                0.90312,                0.95544,                0.85985,                0.53795,                0.35963,                 0.9401,               0.001783,               0.001783,               0.001783
                    169,                0.68699,                0.57092,                  1.051,                0.95926,                0.90324,                0.95562,                0.85992,                0.53726,                0.35887,                0.93979,              0.0017335,              0.0017335,              0.0017335
                    170,                0.68539,                0.56642,                 1.0511,                0.96002,                0.90268,                0.95564,                0.86015,                0.53693,                0.35874,                0.93943,               0.001684,               0.001684,               0.001684
                    171,                0.69112,                0.56844,                 1.0537,                0.96041,                0.90254,                0.95556,                0.86058,                0.53655,                 0.3588,                 0.9391,              0.0016345,              0.0016345,              0.0016345
                    172,                0.68832,                0.56597,                 1.0486,                0.96027,                0.90375,                0.95579,                0.86059,                0.53585,                0.35802,                0.93858,               0.001585,               0.001585,               0.001585
                    173,                0.68655,                0.57004,                 1.0526,                0.96083,                0.90299,                0.95598,                0.86106,                0.53516,                 0.3574,                0.93806,              0.0015355,              0.0015355,              0.0015355
                    174,                0.67978,                0.57288,                 1.0466,                0.96047,                0.90379,                0.95633,                0.86157,                0.53403,                0.35697,                0.93744,               0.001486,               0.001486,               0.001486
                    175,                0.67646,                0.55951,                 1.0463,                  0.959,                0.90633,                0.95691,                0.86196,                 0.5336,                0.35653,                0.93695,              0.0014365,              0.0014365,              0.0014365
                    176,                0.67774,                0.56492,                 1.0443,                0.96162,                0.90309,                0.95669,                0.86196,                0.53304,                0.35588,                0.93635,               0.001387,               0.001387,               0.001387
                    177,                0.67369,                0.55576,                 1.0396,                0.96049,                0.90447,                0.95693,                0.86235,                0.53223,                0.35538,                0.93571,              0.0013375,              0.0013375,              0.0013375
                    178,                0.67517,                0.55725,                 1.0439,                0.95882,                0.90685,                0.95705,                0.86251,                0.53165,                0.35505,                0.93524,               0.001288,               0.001288,               0.001288
                    179,                0.67116,                0.55771,                 1.0419,                0.95863,                0.90688,                0.95697,                0.86297,                0.53101,                0.35472,                0.93458,              0.0012385,              0.0012385,              0.0012385
                    180,                0.66434,                0.55036,                 1.0342,                0.95939,                0.90699,                0.95703,                0.86298,                0.53005,                0.35451,                0.93394,               0.001189,               0.001189,               0.001189
                    181,                 0.6683,                0.55249,                 1.0389,                0.96044,                0.90699,                0.95708,                0.86309,                0.52957,                0.35429,                0.93342,              0.0011395,              0.0011395,              0.0011395
                    182,                 0.6664,                0.54642,                 1.0377,                 0.9603,                0.90699,                0.95729,                0.86333,                0.52891,                0.35399,                0.93284,                0.00109,                0.00109,                0.00109
                    183,                0.66179,                0.54588,                 1.0361,                0.96077,                0.90645,                0.95753,                0.86334,                 0.5286,                0.35378,                0.93235,              0.0010405,              0.0010405,              0.0010405
                    184,                0.66426,                0.55058,                 1.0389,                0.96269,                0.90482,                 0.9579,                0.86358,                0.52799,                0.35356,                 0.9316,               0.000991,               0.000991,               0.000991
                    185,                0.66238,                0.54537,                 1.0342,                0.96309,                0.90501,                0.95804,                0.86385,                0.52716,                0.35299,                0.93098,              0.0009415,              0.0009415,              0.0009415
                    186,                0.65946,                0.54116,                 1.0347,                0.96327,                0.90451,                0.95803,                0.86395,                0.52683,                0.35264,                0.93052,               0.000892,               0.000892,               0.000892
                    187,                0.66438,                0.55067,                 1.0406,                0.96356,                0.90467,                0.95794,                0.86414,                 0.5264,                0.35232,                0.92999,              0.0008425,              0.0008425,              0.0008425
                    188,                0.65593,                0.53744,                 1.0339,                0.96307,                0.90486,                0.95818,                0.86415,                0.52639,                0.35173,                0.92984,               0.000793,               0.000793,               0.000793
                    189,                0.65041,                0.53541,                 1.0297,                0.96347,                0.90544,                0.95822,                0.86426,                0.52582,                0.35131,                0.92936,              0.0007435,              0.0007435,              0.0007435
                    190,                0.65108,                0.53139,                 1.0269,                0.96351,                0.90547,                0.95823,                0.86438,                0.52517,                0.35057,                0.92888,               0.000694,               0.000694,               0.000694
                    191,                0.58481,                0.40394,                0.97699,                0.96392,                0.90588,                0.95837,                0.86453,                0.52468,                0.35015,                0.92853,              0.0006445,              0.0006445,              0.0006445
                    192,                0.58046,                0.39564,                 0.9726,                0.96384,                0.90603,                0.95838,                0.86502,                0.52441,                0.34945,                0.92811,               0.000595,               0.000595,               0.000595
                    193,                0.57407,                0.39508,                0.96945,                0.96392,                0.90602,                0.95839,                0.86519,                0.52419,                0.34907,                0.92795,              0.0005455,              0.0005455,              0.0005455
                    194,                0.57206,                0.38786,                0.96619,                0.96376,                  0.907,                0.95841,                0.86535,                0.52357,                0.34846,                0.92748,               0.000496,               0.000496,               0.000496
                    195,                0.56947,                0.38966,                0.96501,                 0.9639,                0.90719,                0.95865,                0.86558,                0.52302,                0.34797,                 0.9269,              0.0004465,              0.0004465,              0.0004465
                    196,                0.56516,                0.38041,                0.96239,                0.96428,                0.90719,                0.95834,                0.86571,                0.52259,                0.34737,                0.92655,               0.000397,               0.000397,               0.000397
                    197,                0.56456,                0.38136,                0.96292,                0.96443,                0.90758,                0.95881,                0.86604,                0.52207,                0.34677,                0.92606,              0.0003475,              0.0003475,              0.0003475
                    198,                0.56269,                0.37891,                0.96287,                0.96432,                0.90816,                0.95882,                0.86647,                0.52175,                0.34624,                0.92567,               0.000298,               0.000298,               0.000298
                    199,                0.55619,                 0.3777,                0.95888,                0.96342,                0.90832,                0.95881,                0.86658,                 0.5214,                0.34594,                0.92533,              0.0002485,              0.0002485,              0.0002485
                    200,                0.55808,                0.37414,                0.96076,                0.96345,                0.90919,                 0.9592,                0.86651,                0.52115,                0.34542,                 0.9248,               0.000199,               0.000199,               0.000199
