                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91369,                0.79801,                 1.2016,                0.93091,                0.87522,                0.93335,                0.81219,                0.65233,                 0.4579,                 1.0221,               0.008317,               0.008317,               0.008317
                     37,                0.91715,                0.80394,                 1.2012,                0.92256,                0.88866,                0.93575,                0.81607,                0.64917,                0.45104,                  1.021,              0.0082675,              0.0082675,              0.0082675
                     38,                0.91563,                 0.7999,                 1.2002,                0.91971,                0.89363,                0.93629,                0.81488,                0.64796,                0.44975,                 1.0198,               0.008218,               0.008218,               0.008218
                     39,                  0.918,                 0.8086,                 1.2054,                0.92232,                0.88859,                0.93601,                0.81568,                0.64588,                0.44778,                  1.018,              0.0081685,              0.0081685,              0.0081685
                     40,                0.90686,                0.79827,                 1.1976,                0.91914,                0.88665,                0.93552,                0.81734,                0.63964,                0.44869,                 1.0137,               0.008119,               0.008119,               0.008119
                     41,                0.90716,                0.79148,                 1.1974,                0.92693,                0.88979,                0.93826,                0.81937,                0.63623,                 0.4426,                 1.0113,              0.0080695,              0.0080695,              0.0080695
                     42,                 0.9048,                0.79334,                 1.1964,                 0.9264,                0.88975,                0.93819,                0.82145,                 0.6305,                0.43941,                 1.0079,                0.00802,                0.00802,                0.00802
                     43,                0.89984,                0.78986,                 1.1929,                0.92088,                0.89576,                0.93886,                0.82249,                0.62685,                0.43795,                 1.0065,              0.0079705,              0.0079705,              0.0079705
                     44,                0.89613,                0.78448,                 1.1901,                 0.9213,                0.89634,                0.93867,                0.82328,                0.62484,                0.43654,                 1.0066,               0.007921,               0.007921,               0.007921
                     45,                0.89239,                0.78374,                 1.1895,                0.93152,                0.89086,                0.94054,                0.82336,                0.62511,                0.43313,                 1.0049,              0.0078715,              0.0078715,              0.0078715
                     46,                0.88392,                0.77418,                 1.1808,                0.92876,                0.89304,                0.93975,                0.82353,                0.62285,                0.43207,                 1.0033,               0.007822,               0.007822,               0.007822
                     47,                0.88783,                0.77814,                 1.1823,                0.92624,                0.89673,                0.94047,                0.82539,                0.61809,                0.43107,                0.99981,              0.0077725,              0.0077725,              0.0077725
                     48,                0.88679,                0.78061,                 1.1819,                0.93062,                0.89151,                0.94057,                0.82574,                0.61922,                 0.4301,                 1.0003,               0.007723,               0.007723,               0.007723
                     49,                0.88235,                 0.7648,                 1.1817,                 0.9255,                0.89786,                0.94105,                0.82741,                0.61393,                0.42528,                0.99599,              0.0076735,              0.0076735,              0.0076735
                     50,                0.88074,                0.77798,                 1.1788,                0.92556,                0.89653,                0.94111,                0.82757,                0.61201,                0.42262,                0.99494,               0.007624,               0.007624,               0.007624
                     51,                 0.8729,                0.76448,                  1.174,                0.92159,                0.89958,                0.94092,                0.82916,                0.60949,                0.42117,                0.99212,              0.0075745,              0.0075745,              0.0075745
                     52,                0.86967,                 0.7605,                 1.1719,                0.92125,                0.89982,                0.94055,                0.82813,                0.60791,                0.41983,                0.99072,               0.007525,               0.007525,               0.007525
                     53,                 0.8667,                0.75552,                 1.1683,                 0.9257,                0.89634,                0.94044,                  0.829,                0.60597,                0.42007,                0.99036,              0.0074755,              0.0074755,              0.0074755
                     54,                0.86634,                0.75094,                 1.1655,                0.92494,                0.89778,                 0.9412,                0.82993,                0.60433,                0.41819,                0.98902,               0.007426,               0.007426,               0.007426
                     55,                 0.8666,                0.75729,                 1.1625,                0.92497,                0.89963,                0.94199,                0.83121,                0.60225,                0.41508,                0.98806,              0.0073765,              0.0073765,              0.0073765
                     56,                0.85822,                0.75122,                 1.1645,                0.92609,                0.89866,                0.94222,                0.83143,                0.60162,                0.41261,                0.98742,               0.007327,               0.007327,               0.007327
                     57,                0.86073,                0.74795,                 1.1657,                0.92716,                0.89773,                0.94242,                0.83198,                 0.5997,                0.41113,                0.98645,              0.0072775,              0.0072775,              0.0072775
                     58,                0.85481,                0.73572,                 1.1591,                0.92739,                 0.8983,                0.94241,                0.83203,                0.59751,                0.41019,                0.98485,               0.007228,               0.007228,               0.007228
                     59,                0.84935,                0.74375,                 1.1607,                0.92622,                0.90006,                0.94335,                 0.8332,                0.59608,                0.40916,                0.98378,              0.0071785,              0.0071785,              0.0071785
                     60,                 0.8447,                0.73953,                 1.1587,                0.92752,                0.90008,                0.94391,                0.83342,                0.59467,                0.40894,                0.98247,               0.007129,               0.007129,               0.007129
                     61,                0.85879,                0.73745,                 1.1672,                  0.923,                0.90583,                0.94432,                0.83338,                0.59361,                0.40795,                0.98207,              0.0070795,              0.0070795,              0.0070795
                     62,                0.85092,                0.74954,                 1.1611,                0.92334,                0.90551,                 0.9444,                0.83376,                0.59229,                0.40748,                0.98148,                0.00703,                0.00703,                0.00703
                     63,                0.85628,                0.75226,                 1.1611,                0.92353,                0.90525,                0.94429,                0.83427,                0.59149,                0.40622,                0.98089,              0.0069805,              0.0069805,              0.0069805
                     64,                0.84519,                0.74168,                 1.1562,                0.92497,                0.90603,                 0.9451,                0.83459,                0.59065,                0.40483,                0.98033,               0.006931,               0.006931,               0.006931
                     65,                0.85181,                  0.744,                   1.16,                0.92617,                0.90662,                0.94549,                0.83471,                0.58919,                0.40381,                0.97908,              0.0068815,              0.0068815,              0.0068815
                     66,                0.84892,                0.73556,                 1.1591,                0.92654,                0.90699,                0.94591,                0.83538,                0.58873,                0.40281,                0.97868,               0.006832,               0.006832,               0.006832
                     67,                 0.8423,                0.72607,                 1.1488,                0.92535,                0.90553,                0.94528,                0.83543,                0.58765,                0.40184,                0.97807,              0.0067825,              0.0067825,              0.0067825
